ID,Customer Age (in months),"Churn (1 = Yes, 0 = No)",CHI Score Month 0,CHI Score 0-1,Support Cases Month 0,Support Cases 0-1,SP Month 0,SP 0-1,Logins 0-1,Blog Articles 0-1,Views 0-1, Days Since Last Login 0-1
1,67, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
2,67, -   ,62,4, -   , -   , -   , -   , -   , -   ,-16,31
3,55, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
4,63, -   ,231,1,1,-1,3, -   ,167,-8,"21,996.00", -   
5,57, -   ,43,-1, -   , -   , -   , -   , -   , -   ,9,31
6,58, -   ,138,-10, -   , -   , -   , -   ,43, -   ,-33, -   
7,57, -   ,180,-5,1,1,3,3,13,-1,907, -   
8,46, -   ,116,-11, -   , -   , -   , -   , -   , -   ,38,6
9,56, -   ,78,-7,1,-2,3, -   ,-9,1, -   ,7
10,56, -   ,78,-37, -   , -   , -   , -   ,-7, -   ,30,14
11,53, -   ,91,-1, -   , -   , -   , -   ,14,3, -   , -   
12,56, -   ,40,14, -   , -   , -   , -   , -   , -   ,15,31
13,57, -   ,215,15, -   , -   , -   , -   ,71,9,"8,658.00", -   
14,57, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
15,55, -   ,118,63, -   , -   , -   , -   ,5,1,995, -   
16,56, -   ,59,16, -   , -   , -   , -   , -   , -   ,4,31
17,52, -   ,67,25, -   , -   , -   , -   ,4, -   ,77,31
18,55, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-2,31
19,54, -   ,258,-4,1, -   ,3, -   ,34,6,149, -   
20,54, -   ,89,-12,1,1,3,3,-41,-8,-29, -   
21,54, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
22,54, -   ,142,1, -   , -   , -   , -   ,26,1,-4,13
23,53, -   ,86,10, -   , -   , -   , -   ,2, -   ,-53,-31
24,53, -   ,100,5, -   ,-1, -   ,-3, -   , -   ,-8,2
25,53, -   ,103,-12, -   , -   , -   , -   ,-6,-1,40,-1
26,46, -   ,75, -   , -   , -   , -   , -   , -   , -   ,10,30
27,53, -   ,182,8,8,6,3,-0.5,38,1,671, -   
28,53, -   ,230, -   , -   , -   , -   , -   ,84,3,"13,043.00", -   
29,52, -   ,179,-22,2,1,3, -   ,10,-2,5,-1
30,53, -   ,48,-10, -   , -   , -   , -   ,-15, -   ,12,-18
31,52, -   ,99,-6, -   , -   , -   , -   ,-8, -   ,-23,-31
32,32, -   ,67,28, -   , -   , -   , -   , -   , -   , -   ,31
